created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-10-13T17:25:20-05:00,1,0,,,,,,,
2023-10-13T23:42:38-05:00,2,,THRESHOLD,,,,,,
2023-10-13T23:43:07-05:00,3,,,,1,,,,
2023-10-13T23:48:03-05:00,4,27.67600,,,,,,,
2023-10-13T23:48:19-05:00,5,1193.65503,,,,,,,
2023-10-13T23:48:36-05:00,6,1193.67200,,,,,,,
2023-10-13T23:48:52-05:00,7,1193.82495,,,,,,,
2023-10-13T23:49:08-05:00,8,261.85101,,,,,,,
2023-10-13T23:49:25-05:00,9,12.30800,,,,,,,
2023-10-13T23:49:41-05:00,10,18.54700,,,,,,,
